Timestamp,What Candy Are you sampling?,Sour Branding (Submit BEFORE eating the candy),Sour Intensity,Sour Duration,Mouth Feel,Any Comments?,What type of graph do you think would best represent the flavor of this candy?
7/18/2026 7:59:15,Circle K Wriggly Sour Worms,2,4,3,4,Better than i expected!,Sankey diagram
7/18/2026 7:59:23,Circle K Wriggly Sour Worms,3,2,1,3,,
7/18/2026 7:59:30,Circle K Wriggly Sour Worms,2,2,1,3,"Very low flavor quality, too chewy",
7/18/2026 7:59:30,Circle K Wriggly Sour Worms,3,1,1,1,Too sweet,Scatter
7/18/2026 8:00:18,Circle K Wriggly Sour Worms,2,1,4,4,Very mellow and sweet sour candy,
7/18/2026 8:01:35,Circle K Wriggly Sour Worms,3,3,4,5,"the feel and texture , how long the utility of the sour was ",sine wave ? but only cut to the first curve
7/18/2026 8:41:08,Circle K Wriggly Sour Worms,2,3,4,4,Surprisingly long lasting. The gummy is also sour not just the coating.,Intensity graph
7/18/2026 8:46:14,Circle K Wriggly Sour Worms,3,2,3,4,This is my first sample so I don’t have much to compare it with ,Bell curve
7/18/2026 9:07:47,Circle K Wriggly Sour Worms,3,2,2,2,,Contour
7/18/2026 9:11:45,Circle K Wriggly Sour Worms,4,1,1,2,"massive L, dissapointment",left skew
7/18/2026 9:20:14,Circle K Wriggly Sour Worms,3,3,4,4,,
7/18/2026 9:50:42,Circle K Wriggly Sour Worms,3,3,3,3,,
7/18/2026 11:59:32,Circle K Wriggly Sour Worms,2,2,2,2,"very bland flavor, have had better worms",pie
7/18/2026 12:28:36,Circle K Wriggly Sour Worms,4,3,2,3,,
7/18/2026 12:52:13,Circle K Wriggly Sour Worms,3,4,3,2,I am wondering if color affects sourness,Line (worm) chart
7/18/2026 12:53:54,Circle K Wriggly Sour Worms,3,2,3,3,"The flavor profile feel flat, not much nuance into it. ",whatever that has worm gummies as markers
7/18/2026 13:29:20,Circle K Wriggly Sour Worms,5,3,3,3,,A wriggly sankey plot
7/18/2026 13:31:34,Circle K Wriggly Sour Worms,2,2,3,2,Not so great tbh,Wormy
7/18/2026 13:53:20,Circle K Wriggly Sour Worms,3,2,2,2,,Logarithmic
